sample	depth	pc_genome	combination	density
DC3-1000	10	0.8309030000000001	DC3	1000
DC4-100	10	0.688279	DC4	100
DC4-10000	10	0.938127	DC4	10000
DC4-10	10	0.202573	DC4	10
DC4-1000	10	0.840088	DC4	1000
DC5-100	10	0.590252	DC5	100
DC5-10000	10	0.930601	DC5	10000
DC5-10	10	0.135078	DC5	10
DC5-1000	10	0.760559	DC5	1000
QC1-100	10	0.591571	QC1	100
QC1-10000	10	0.902911	QC1	10000
QC1-10	10	0.000572	QC1	10
QC1-1000	10	0.841355	QC1	1000
QC2-100	10	0.626202	QC2	100
QC2-10000	10	0.9406680000000001	QC2	10000
QC2-10	10	0.00044100000000000004	QC2	10
QC2-1000	10	0.886394	QC2	1000
TC1-100	10	0.555534	TC1	100
TC1-10000	10	0.9298040000000001	TC1	10000
TC1-10	10	0.296768	TC1	10
TC1-1000	10	0.8406469999999999	TC1	1000
TC2-100	10	0.6432329999999999	TC2	100
TC2-10000	10	0.9287639999999999	TC2	10000
TC2-10	10	0.092873	TC2	10
TC2-1000	10	0.846793	TC2	1000
TC5-100	10	0.554674	TC5	100
TC5-10000	10	0.9238280000000001	TC5	10000
TC5-10	10	0.290591	TC5	10
TC5-1000	10	0.860743	TC5	1000
7C1-100	15	0.24946999999999997	7C1	100
7C1-10000	15	0.8860520000000001	7C1	10000
7C1-10	15	0.000193	7C1	10
7C1-1000	15	0.8221	7C1	1000
DC3-100	15	0.321088	DC3	100
DC3-10000	15	0.8986280000000001	DC3	10000
DC3-10	15	0.243621	DC3	10
DC3-1000	15	0.761861	DC3	1000
DC4-100	15	0.6079289999999999	DC4	100
DC4-10000	15	0.9065639999999999	DC4	10000
DC4-10	15	0.170416	DC4	10
DC4-1000	15	0.77349	DC4	1000
DC5-100	15	0.498144	DC5	100
DC5-10000	15	0.893441	DC5	10000
DC5-10	15	0.10879000000000001	DC5	10
DC5-1000	15	0.677434	DC5	1000
QC1-100	15	0.5146	QC1	100
QC1-10000	15	0.853352	QC1	10000
QC1-10	15	0.000388	QC1	10
QC1-1000	15	0.7727609999999999	QC1	1000
QC2-100	15	0.551226	QC2	100
QC2-10000	15	0.908432	QC2	10000
QC2-10	15	0.000295	QC2	10
QC2-1000	15	0.8317120000000001	QC2	1000
TC1-100	15	0.481347	TC1	100
TC1-10000	15	0.893091	TC1	10000
TC1-10	15	0.250459	TC1	10
TC1-1000	15	0.775492	TC1	1000
TC2-100	15	0.5724520000000001	TC2	100
TC2-10000	15	0.8911819999999999	TC2	10000
TC2-10	15	0.064441	TC2	10
TC2-1000	15	0.785673	TC2	1000
TC5-100	15	0.472159	TC5	100
TC5-10000	15	0.8840180000000001	TC5	10000
TC5-10	15	0.24060700000000002	TC5	10
TC5-1000	15	0.795977	TC5	1000
7C1-100	20	0.204998	7C1	100
7C1-10000	20	0.847432	7C1	10000
7C1-10	20	0.000148	7C1	10
7C1-1000	20	0.769609	7C1	1000
DC3-100	20	0.267984	DC3	100
DC3-10000	20	0.865215	DC3	10000
DC3-10	20	0.21000500000000002	DC3	10
DC3-1000	20	0.701788	DC3	1000
DC4-100	20	0.547242	DC4	100
DC4-10000	20	0.8744190000000001	DC4	10000
DC4-10	20	0.149887	DC4	10
DC4-1000	20	0.7163010000000001	DC4	1000
DC5-100	20	0.432118	DC5	100
DC5-10000	20	0.8569690000000001	DC5	10000
DC5-10	20	0.092574	DC5	10
DC5-1000	20	0.609337	DC5	1000
QC1-100	20	0.45846000000000003	QC1	100
QC1-10000	20	0.805792	QC1	10000
QC1-10	20	0.000305	QC1	10
QC1-1000	20	0.7133470000000001	QC1	1000
QC2-100	20	0.49618199999999996	QC2	100
QC2-10000	20	0.874442	QC2	10000
QC2-10	20	0.00020800000000000001	QC2	10
QC2-1000	20	0.781464	QC2	1000
TC1-100	20	0.42844399999999994	TC1	100
TC1-10000	20	0.8568379999999999	TC1	10000
TC1-10	20	0.220171	TC1	10
TC1-1000	20	0.718008	TC1	1000
TC2-100	20	0.5211210000000001	TC2	100
TC2-10000	20	0.8537309999999999	TC2	10000
TC2-10	20	0.049102	TC2	10
TC2-1000	20	0.7326199999999999	TC2	1000
TC5-100	20	0.414292	TC5	100
TC5-10000	20	0.846518	TC5	10000
TC5-10	20	0.207573	TC5	10
TC5-1000	20	0.7366229999999999	TC5	1000
7C1-100	25	0.17396099999999998	7C1	100
7C1-10000	25	0.810401	7C1	10000
7C1-10	25	0.000128	7C1	10
7C1-1000	25	0.722751	7C1	1000
DC3-100	25	0.22959000000000002	DC3	100
DC3-10000	25	0.832902	DC3	10000
DC3-10	25	0.18621600000000002	DC3	10
DC3-1000	25	0.649281	DC3	1000
