baseQuality	bq_count	ext	s1	s2	density
16	136813454	chelex	sof1	sof2	100
17	125309511	chelex	sof1	sof2	100
18	104873417	chelex	sof1	sof2	100
19	173422162	chelex	sof1	sof2	100
20	235264161	chelex	sof1	sof2	100
21	675343328	chelex	sof1	sof2	100
22	780607895	chelex	sof1	sof2	100
23	1018409761	chelex	sof1	sof2	100
24	1146313213	chelex	sof1	sof2	100
25	826283269	chelex	sof1	sof2	100
26	538789185	chelex	sof1	sof2	100
27	543391419	chelex	sof1	sof2	100
28	671580836	chelex	sof1	sof2	100
29	1858244345	chelex	sof1	sof2	100
30	1932373136	chelex	sof1	sof2	100
31	1100552083	chelex	sof1	sof2	100
32	436070891	chelex	sof1	sof2	100
33	84277375	chelex	sof1	sof2	100
34	48126855	chelex	sof1	sof2	100
35	64072853	chelex	sof1	sof2	100
36	61695605	chelex	sof1	sof2	100
37	21087858	chelex	sof1	sof2	100
38	638209	chelex	sof1	sof2	100
6	1618696	chelex	sof1	sof2	1K
7	7706856	chelex	sof1	sof2	1K
8	12674158	chelex	sof1	sof2	1K
9	5680909	chelex	sof1	sof2	1K
10	26904271	chelex	sof1	sof2	1K
11	227906142	chelex	sof1	sof2	1K
12	463736357	chelex	sof1	sof2	1K
13	326775049	chelex	sof1	sof2	1K
14	90314878	chelex	sof1	sof2	1K
15	145754373	chelex	sof1	sof2	1K
16	235772553	chelex	sof1	sof2	1K
17	100662291	chelex	sof1	sof2	1K
18	81494083	chelex	sof1	sof2	1K
19	45197420	chelex	sof1	sof2	1K
20	51794095	chelex	sof1	sof2	1K
21	77167783	chelex	sof1	sof2	1K
22	140842299	chelex	sof1	sof2	1K
23	509912941	chelex	sof1	sof2	1K
24	1727114129	chelex	sof1	sof2	1K
25	1543006466	chelex	sof1	sof2	1K
26	1391442664	chelex	sof1	sof2	1K
27	707530477	chelex	sof1	sof2	1K
28	2052813583	chelex	sof1	sof2	1K
29	4518401282	chelex	sof1	sof2	1K
30	703606113	chelex	sof1	sof2	1K
31	157530777	chelex	sof1	sof2	1K
32	47237457	chelex	sof1	sof2	1K
33	1441228	chelex	sof1	sof2	1K
34	73949	chelex	sof1	sof2	1K
5	1379574	chelex	sof2	sanger1	100
6	3961584	chelex	sof2	sanger1	100
7	8733488	chelex	sof2	sanger1	100
8	5123925	chelex	sof2	sanger1	100
9	47386938	chelex	sof2	sanger1	100
10	217448420	chelex	sof2	sanger1	100
11	329212784	chelex	sof2	sanger1	100
12	274189974	chelex	sof2	sanger1	100
13	245436486	chelex	sof2	sanger1	100
14	235463034	chelex	sof2	sanger1	100
15	170644509	chelex	sof2	sanger1	100
16	187111585	chelex	sof2	sanger1	100
17	40311287	chelex	sof2	sanger1	100
18	79822008	chelex	sof2	sanger1	100
19	52418319	chelex	sof2	sanger1	100
20	75459797	chelex	sof2	sanger1	100
21	116082334	chelex	sof2	sanger1	100
22	204711634	chelex	sof2	sanger1	100
23	757886792	chelex	sof2	sanger1	100
24	1028024507	chelex	sof2	sanger1	100
25	1594839360	chelex	sof2	sanger1	100
26	748212278	chelex	sof2	sanger1	100
27	852160971	chelex	sof2	sanger1	100
28	804621271	chelex	sof2	sanger1	100
29	2560351108	chelex	sof2	sanger1	100
30	2568384656	chelex	sof2	sanger1	100
31	306883007	chelex	sof2	sanger1	100
32	173620195	chelex	sof2	sanger1	100
33	15742736	chelex	sof2	sanger1	100
34	3000222	chelex	sof2	sanger1	100
35	2424177	chelex	sof2	sanger1	100
6	2866822	chelex	sof2	sanger1	1K
7	9254059	chelex	sof2	sanger1	1K
8	10232373	chelex	sof2	sanger1	1K
9	4492000	chelex	sof2	sanger1	1K
10	93612583	chelex	sof2	sanger1	1K
11	323656154	chelex	sof2	sanger1	1K
12	398074435	chelex	sof2	sanger1	1K
13	257309830	chelex	sof2	sanger1	1K
14	142749476	chelex	sof2	sanger1	1K
15	163142894	chelex	sof2	sanger1	1K
16	152507378	chelex	sof2	sanger1	1K
17	69061465	chelex	sof2	sanger1	1K
18	56940540	chelex	sof2	sanger1	1K
19	63854715	chelex	sof2	sanger1	1K
20	42453984	chelex	sof2	sanger1	1K
21	79439167	chelex	sof2	sanger1	1K
22	108832226	chelex	sof2	sanger1	1K
23	326655866	chelex	sof2	sanger1	1K
24	1162146089	chelex	sof2	sanger1	1K
25	1534815396	chelex	sof2	sanger1	1K
26	1437704893	chelex	sof2	sanger1	1K
27	830089200	chelex	sof2	sanger1	1K
28	1507636599	chelex	sof2	sanger1	1K
29	4142764288	chelex	sof2	sanger1	1K
30	1736666509	chelex	sof2	sanger1	1K
31	56424774	chelex	sof2	sanger1	1K
32	2709105	chelex	sof2	sanger1	1K
