owner	extractionMethod	density	repairMethod	swgaMethod	replicate	sampleNumber	laneNumber	sampleName
BH	Qiagen	10000	NO	Sof	3	S52	L002	BH-Qiagen-NO-Sof-3-S52-L002
BH	Qiagen	10000	NO	Sof	3	S52	L003	BH-Qiagen-NO-Sof-3-S52-L003
BH	Qiagen	10000	NO	Sof	3	S52	L004	BH-Qiagen-NO-Sof-3-S52-L004
BH	Qiagen	10000	RP	Sof	1	S47	L001	BH-Qiagen-RP-Sof-1-S47-L001
BH	Qiagen	10000	RP	Sof	1	S47	L002	BH-Qiagen-RP-Sof-1-S47-L002
BH	Qiagen	10000	RP	Sof	1	S47	L003	BH-Qiagen-RP-Sof-1-S47-L003
BH	Qiagen	10000	RP	Sof	1	S47	L004	BH-Qiagen-RP-Sof-1-S47-L004
BH	Qiagen	10000	RP	Sof	2	S48	L001	BH-Qiagen-RP-Sof-2-S48-L001
BH	Qiagen	10000	RP	Sof	2	S48	L002	BH-Qiagen-RP-Sof-2-S48-L002
BH	Qiagen	10000	RP	Sof	2	S48	L003	BH-Qiagen-RP-Sof-2-S48-L003
BH	Qiagen	10000	RP	Sof	2	S48	L004	BH-Qiagen-RP-Sof-2-S48-L004
BH	Qiagen	10000	RP	Sof	3	S49	L001	BH-Qiagen-RP-Sof-3-S49-L001
BH	Qiagen	10000	RP	Sof	3	S49	L002	BH-Qiagen-RP-Sof-3-S49-L002
BH	Qiagen	10000	RP	Sof	3	S49	L003	BH-Qiagen-RP-Sof-3-S49-L003
BH	Qiagen	10000	RP	Sof	3	S49	L004	BH-Qiagen-RP-Sof-3-S49-L004
GH	chelex	100	na	JP	S38	L001		chelex-100-JP-S38-L001
GH	chelex	100	na	JP	S38	L002		chelex-100-JP-S38-L002
GH	chelex	100	na	JP	S38	L003		chelex-100-JP-S38-L003
GH	chelex	100	na	JP	S38	L004		chelex-100-JP-S38-L004
GH	chelex	100	na	sanger	S23	L001		chelex-100-sanger-S23-L001
GH	chelex	100	na	sanger	S23	L002		chelex-100-sanger-S23-L002
GH	chelex	100	na	sanger	S23	L003		chelex-100-sanger-S23-L003
GH	chelex	100	na	sanger	S23	L004		chelex-100-sanger-S23-L004
GH	chelex	100	na	sof	S8	L001		chelex-100-sof-S8-L001
GH	chelex	100	na	sof	S8	L002		chelex-100-sof-S8-L002
GH	chelex	100	na	sof	S8	L003		chelex-100-sof-S8-L003
GH	chelex	100	na	sof	S8	L004		chelex-100-sof-S8-L004
GH	chelex	10	na	JP	S39	L001		chelex-10-JP-S39-L001
GH	chelex	10	na	JP	S39	L002		chelex-10-JP-S39-L002
GH	chelex	10	na	JP	S39	L003		chelex-10-JP-S39-L003
GH	chelex	10	na	JP	S39	L004		chelex-10-JP-S39-L004
GH	chelex	10000	na	JP	S36	L001		chelex-10K-JP-S36-L001
GH	chelex	10000	na	JP	S36	L002		chelex-10K-JP-S36-L002
GH	chelex	10000	na	JP	S36	L003		chelex-10K-JP-S36-L003
GH	chelex	10000	na	JP	S36	L004		chelex-10K-JP-S36-L004
GH	chelex	10000	na	sanger	S21	L001		chelex-10K-sanger-S21-L001
GH	chelex	10000	na	sanger	S21	L002		chelex-10K-sanger-S21-L002
GH	chelex	10000	na	sanger	S21	L003		chelex-10K-sanger-S21-L003
GH	chelex	10000	na	sanger	S21	L004		chelex-10K-sanger-S21-L004
GH	chelex	10000	na	sof	S6	L001		chelex-10K-sof-S6-L001
GH	chelex	10000	na	sof	S6	L002		chelex-10K-sof-S6-L002
GH	chelex	10000	na	sof	S6	L003		chelex-10K-sof-S6-L003
GH	chelex	10000	na	sof	S6	L004		chelex-10K-sof-S6-L004
GH	chelex	10	na	sanger	S24	L001		chelex-10-sanger-S24-L001
