Well	Sample.ID	Range	ng.uL	pct_total	nmole.L	length	CV	Barcode	UID	Comments	Study.Short.Code	Specimen.Type
B3	SampB3	150 bp to 550 bp	6.7459	84.3	38.416	289	29.75	8025874928	1704481.3	802	MOZ2018	DNA (DBS)
B4	SampB4	150 bp to 550 bp	4.2199	79.7	23.209	299	30.54	8025874380	1703206.3	1042	MOZ2018	DNA (DBS)
B5	SampB5	150 bp to 550 bp	4.2644	79.5	24.641	285	31.34	8025874357	1704484.4	957	MOZ2018	DNA (DBS)
B6	SampB6	150 bp to 550 bp	8.0793	86.2	44.111	301	29.64	8025874447	1704377.9	1051	MOZ2018	DNA (DBS)
B7	SampB7	150 bp to 550 bp	0.2436	70	1.563	256	33.93	8025874330	1704359.5	1054	MOZ2018	DNA (DBS)
B8	SampB8	150 bp to 550 bp	8.2652	86	45.495	299	30.12	8025874988	1703766.2	191	MOZ2018	DNA (DBS)
B9	SampB9	150 bp to 550 bp	6.1726	83.2	34.621	293	30.95	8025874714	1717461.9	798	MOZ2018	DNA (DBS)
B10	SampB10	150 bp to 550 bp	4.9179	81.1	27.01	300	30.35	8025874463	1717452.7	714	MOZ2018	DNA (DBS)
B11	SampB11	150 bp to 550 bp	3.0498	76.8	18.046	278	32.42	8025875042	1704500.1	943	MOZ2018	DNA (DBS)
B12	SampB12	150 bp to 550 bp	2.5035	76.3	14.271	289	32.76	8025874940	1717374.2	998	MOZ2018	DNA (DBS)
C1	SampC1	150 bp to 550 bp	2.8515	74.3	16.915	277	33.72	8025874721	1703734.1	50	MOZ2018	DNA (DBS)
C2	SampC2	150 bp to 550 bp	3.0076	77.4	17.931	276	32.46	8025875101	1703357.2	863	MOZ2018	DNA (DBS)
C3	SampC3	150 bp to 550 bp	2.7343	75.4	15.929	282	32.94	8025874672	1703298.8	1006	MOZ2018	DNA (DBS)
C4	SampC4	150 bp to 550 bp	2.9078	78.1	16.833	284	32.87	8025874321	1717701.6	996	MOZ2018	DNA (DBS)
C5	SampC5	150 bp to 550 bp	0.0104	0.2	0.068	251	33.66	8025874872	1703305.3	1153	MOZ2018	DNA (DBS)
C6	SampC6	150 bp to 550 bp	3.6824	76.8	20.985	289	31.67	8025874377	1717559.3	635	MOZ2018	DNA (DBS)
C7	SampC7	150 bp to 550 bp	4.0774	79.5	23.317	288	29.76	8025874411	1717429.9	1023	MOZ2018	DNA (DBS)
C8	SampC8	150 bp to 550 bp	3.6401	75.5	22.304	268	29.35	8034209589	1717425.1	1019	MOZ2018	DNA (DBS)
C9	SampC9	150 bp to 550 bp	3.7954	77.2	22.64	276	29.75	8025874809	1717418.3	995	MOZ2018	DNA (DBS)
C10	SampC10	150 bp to 550 bp	3.371	76.9	20.105	276	31.6	8025874665	1717371.1	1126	MOZ2018	DNA (DBS)
C11	SampC11	150 bp to 550 bp	2.6319	73.7	15.656	277	33.8	8034209281	1703722.8	155	MOZ2018	DNA (DBS)
C12	SampC12	150 bp to 550 bp	1.5486	63.7	9.235	276	36.71	H2O-1	NA	NA		
D1	SampD1	150 bp to 550 bp	3.4229	76.3	20.571	274	32.04	8025874242	1703731	1265	MOZ2018	DNA (DBS)
D2	SampD2	150 bp to 550 bp	5.4811	83.7	31.943	282	28.83	8025874440	1703300.8	944	MOZ2018	DNA (DBS)
D3	SampD3	150 bp to 550 bp	0.1715	78.2	1.066	264	29.43	8025875121	1704357.1	955	MOZ2018	DNA (DBS)
D4	SampD4	150 bp to 550 bp	6.2983	83.9	36.311	285	29.26	8025875170	1704501.8	856	MOZ2018	DNA (DBS)
D5	SampD5	150 bp to 550 bp	0.2227	77	1.327	276	32.02	8034209465	1703997	1277	MOZ2018	DNA (DBS)
