na	pc_error	n_sites	s1	s2
ERR	0.032311	15103	1000-Che-M-Sof-2	1000-Che-M-Sang-1
ERR	0.036147	15105	1000-Che-M-Sof-2	1000-Che-M-Sang-2
ERR	0.028868	15103	1000-Che-M-Sof-2	1000-Che-M-Sof-1
ERR	0.528238	15086	1000-Che-R-Sang-1	10-Che-M-Sof-1
ERR	0.044459	15115	1000-Che-R-Sang-1	100-Che-M-Sang-1
ERR	0.043012	15112	1000-Che-R-Sang-1	100-Che-M-Sang-2
ERR	0.039182	15109	1000-Che-R-Sang-1	100-Che-M-Sof-1
ERR	0.491624	15103	1000-Che-R-Sang-1	100-Che-M-Sof-2
ERR	0.070015	15111	1000-Che-R-Sang-1	100-Che-R-Sang-1
ERR	0.058711	15108	1000-Che-R-Sang-1	100-Che-R-Sang-2
ERR	0.048174	15112	1000-Che-R-Sang-1	100-Che-R-Sof-1
ERR	0.053589	15115	1000-Che-R-Sang-1	100-Che-R-Sof-2
ERR	0.237976	15115	1000-Che-R-Sang-1	100-Qia-M-Sang-1
ERR	0.228987	15110	1000-Che-R-Sang-1	100-Qia-M-Sang-2
ERR	0.516142	15085	1000-Che-R-Sang-1	100-Qia-M-Sof-1
ERR	0.162640	15107	1000-Che-R-Sang-1	100-Qia-M-Sof-2
ERR	0.186085	15106	1000-Che-R-Sang-1	100-Qia-R-Sang-1
ERR	0.169954	15110	1000-Che-R-Sang-1	100-Qia-R-Sang-2
ERR	0.142073	15112	1000-Che-R-Sang-1	100-Qia-R-Sof-1
ERR	0.149825	15111	1000-Che-R-Sang-1	100-Qia-R-Sof-2
ERR	0.030115	15109	1000-Che-R-Sang-1	1000-Che-M-Sang-1
ERR	0.031368	15111	1000-Che-R-Sang-1	1000-Che-M-Sang-2
ERR	0.036071	15109	1000-Che-R-Sang-1	1000-Che-M-Sof-1
ERR	0.037130	15109	1000-Che-R-Sang-1	1000-Che-M-Sof-2
ERR	0.522941	15082	1000-Che-R-Sang-2	10-Che-M-Sof-1
ERR	0.042883	15111	1000-Che-R-Sang-2	100-Che-M-Sang-1
ERR	0.047061	15108	1000-Che-R-Sang-2	100-Che-M-Sang-2
ERR	0.037405	15105	1000-Che-R-Sang-2	100-Che-M-Sof-1
ERR	0.488642	15099	1000-Che-R-Sang-2	100-Che-M-Sof-2
ERR	0.065599	15107	1000-Che-R-Sang-2	100-Che-R-Sang-1
ERR	0.058263	15104	1000-Che-R-Sang-2	100-Che-R-Sang-2
ERR	0.050172	15108	1000-Che-R-Sang-2	100-Che-R-Sof-1
ERR	0.052677	15111	1000-Che-R-Sang-2	100-Che-R-Sof-2
ERR	0.234531	15111	1000-Che-R-Sang-2	100-Qia-M-Sang-1
ERR	0.227724	15106	1000-Che-R-Sang-2	100-Qia-M-Sang-2
ERR	0.513958	15081	1000-Che-R-Sang-2	100-Qia-M-Sof-1
ERR	0.161822	15103	1000-Che-R-Sang-2	100-Qia-M-Sof-2
ERR	0.184876	15102	1000-Che-R-Sang-2	100-Qia-R-Sang-1
ERR	0.165696	15106	1000-Che-R-Sang-2	100-Qia-R-Sang-2
ERR	0.141978	15108	1000-Che-R-Sang-2	100-Qia-R-Sof-1
ERR	0.143907	15107	1000-Che-R-Sang-2	100-Qia-R-Sof-2
ERR	0.032241	15105	1000-Che-R-Sang-2	1000-Che-M-Sang-1
ERR	0.036606	15107	1000-Che-R-Sang-2	1000-Che-M-Sang-2
ERR	0.034889	15105	1000-Che-R-Sang-2	1000-Che-M-Sof-1
ERR	0.036473	15107	1000-Che-R-Sang-2	1000-Che-M-Sof-2
ERR	0.033684	15111	1000-Che-R-Sang-2	1000-Che-R-Sang-1
ERR	0.529568	15084	1000-Che-R-Sof-1	10-Che-M-Sof-1
ERR	0.048303	15113	1000-Che-R-Sof-1	100-Che-M-Sang-1
ERR	0.050496	15110	1000-Che-R-Sof-1	100-Che-M-Sang-2
ERR	0.038059	15108	1000-Che-R-Sof-1	100-Che-M-Sof-1
ERR	0.492219	15101	1000-Che-R-Sof-1	100-Che-M-Sof-2
ERR	0.070946	15110	1000-Che-R-Sof-1	100-Che-R-Sang-1
ERR	0.063485	15106	1000-Che-R-Sof-1	100-Che-R-Sang-2
ERR	0.052283	15110	1000-Che-R-Sof-1	100-Che-R-Sof-1
ERR	0.056706	15113	1000-Che-R-Sof-1	100-Che-R-Sof-2
ERR	0.242506	15113	1000-Che-R-Sof-1	100-Qia-M-Sang-1
ERR	0.234909	15108	1000-Che-R-Sof-1	100-Qia-M-Sang-2
ERR	0.519658	15083	1000-Che-R-Sof-1	100-Qia-M-Sof-1
ERR	0.163522	15105	1000-Che-R-Sof-1	100-Qia-M-Sof-2
ERR	0.193128	15104	1000-Che-R-Sof-1	100-Qia-R-Sang-1
ERR	0.174808	15108	1000-Che-R-Sof-1	100-Qia-R-Sang-2
ERR	0.144805	15110	1000-Che-R-Sof-1	100-Qia-R-Sof-1
ERR	0.147528	15109	1000-Che-R-Sof-1	100-Qia-R-Sof-2
ERR	0.034752	15107	1000-Che-R-Sof-1	1000-Che-M-Sang-1
ERR	0.035473	15110	1000-Che-R-Sof-1	1000-Che-M-Sang-2
ERR	0.033759	15107	1000-Che-R-Sof-1	1000-Che-M-Sof-1
ERR	0.035809	15108	1000-Che-R-Sof-1	1000-Che-M-Sof-2
ERR	0.033481	15113	1000-Che-R-Sof-1	1000-Che-R-Sang-1
ERR	0.036464	15111	1000-Che-R-Sof-1	1000-Che-R-Sang-2
ERR	0.528378	15082	1000-Che-R-Sof-2	10-Che-M-Sof-1
ERR	0.046059	15111	1000-Che-R-Sof-2	100-Che-M-Sang-1
ERR	0.048650	15108	1000-Che-R-Sof-2	100-Che-M-Sang-2
ERR	0.036147	15105	1000-Che-R-Sof-2	100-Che-M-Sof-1
ERR	0.492947	15099	1000-Che-R-Sof-2	100-Che-M-Sof-2
ERR	0.072152	15107	1000-Che-R-Sof-2	100-Che-R-Sang-1
ERR	0.061904	15104	1000-Che-R-Sof-2	100-Che-R-Sang-2
ERR	0.052475	15112	1000-Che-R-Sof-2	100-Che-R-Sof-1
ERR	0.055920	15111	1000-Che-R-Sof-2	100-Che-R-Sof-2
ERR	0.240355	15111	1000-Che-R-Sof-2	100-Qia-M-Sang-1
ERR	0.234730	15111	1000-Che-R-Sof-2	100-Qia-M-Sang-2
ERR	0.519064	15081	1000-Che-R-Sof-2	100-Qia-M-Sof-1
ERR	0.165530	15103	1000-Che-R-Sof-2	100-Qia-M-Sof-2
ERR	0.190322	15106	1000-Che-R-Sof-2	100-Qia-R-Sang-1
ERR	0.172448	15106	1000-Che-R-Sof-2	100-Qia-R-Sang-2
ERR	0.143831	15108	1000-Che-R-Sof-2	100-Qia-R-Sof-1
ERR	0.148209	15107	1000-Che-R-Sof-2	100-Qia-R-Sof-2
ERR	0.033764	15105	1000-Che-R-Sof-2	1000-Che-M-Sang-1
ERR	0.037929	15107	1000-Che-R-Sof-2	1000-Che-M-Sang-2
ERR	0.034946	15109	1000-Che-R-Sof-2	1000-Che-M-Sof-1
ERR	0.033035	15105	1000-Che-R-Sof-2	1000-Che-M-Sof-2
ERR	0.033419	15111	1000-Che-R-Sof-2	1000-Che-R-Sang-1
ERR	0.035015	15108	1000-Che-R-Sof-2	1000-Che-R-Sang-2
ERR	0.035343	15109	1000-Che-R-Sof-2	1000-Che-R-Sof-1
ERR	0.523898	15085	1000-Qia-M-Sang-1	10-Che-M-Sof-1
ERR	0.053196	15114	1000-Qia-M-Sang-1	100-Che-M-Sang-1
ERR	0.053670	15111	1000-Qia-M-Sang-1	100-Che-M-Sang-2
ERR	0.049643	15108	1000-Qia-M-Sang-1	100-Che-M-Sof-1
ERR	0.489935	15102	1000-Qia-M-Sang-1	100-Che-M-Sof-2
ERR	0.074123	15110	1000-Qia-M-Sang-1	100-Che-R-Sang-1
ERR	0.068441	15108	1000-Qia-M-Sang-1	100-Che-R-Sang-2
ERR	0.064324	15111	1000-Qia-M-Sang-1	100-Che-R-Sof-1
ERR	0.065767	15114	1000-Qia-M-Sang-1	100-Che-R-Sof-2
ERR	0.230184	15114	1000-Qia-M-Sang-1	100-Qia-M-Sang-1
ERR	0.229532	15109	1000-Qia-M-Sang-1	100-Qia-M-Sang-2
ERR	0.511602	15084	1000-Qia-M-Sang-1	100-Qia-M-Sof-1
ERR	0.160996	15106	1000-Qia-M-Sang-1	100-Qia-M-Sof-2
ERR	0.186428	15105	1000-Qia-M-Sang-1	100-Qia-R-Sang-1
ERR	0.169899	15109	1000-Qia-M-Sang-1	100-Qia-R-Sang-2
ERR	0.145258	15111	1000-Qia-M-Sang-1	100-Qia-R-Sof-1
ERR	0.149901	15110	1000-Qia-M-Sang-1	100-Qia-R-Sof-2
ERR	0.045337	15109	1000-Qia-M-Sang-1	1000-Che-M-Sang-1
ERR	0.045533	15110	1000-Qia-M-Sang-1	1000-Che-M-Sang-2
ERR	0.045737	15108	1000-Qia-M-Sang-1	1000-Che-M-Sof-1
ERR	0.046664	15108	1000-Qia-M-Sang-1	1000-Che-M-Sof-2
ERR	0.045521	15114	1000-Qia-M-Sang-1	1000-Che-R-Sang-1
ERR	0.048709	15110	1000-Qia-M-Sang-1	1000-Che-R-Sang-2
ERR	0.049762	15112	1000-Qia-M-Sang-1	1000-Che-R-Sof-1
ERR	0.051423	15110	1000-Qia-M-Sang-1	1000-Che-R-Sof-2
