uniq_a	uniq_b	shared	sample_a	sample_b
2717	3293	22660	1000-Che-R-Sang-2	1000-Che-R-Sof-1
2891	3177	22486	1000-Che-R-Sang-2	1000-Che-R-Sof-2
3697	3264	21680	1000-Che-R-Sang-2	1000-Qia-M-Sang-1
4082	3309	21295	1000-Che-R-Sang-2	1000-Qia-M-Sang-2
3206	3556	22171	1000-Che-R-Sang-2	1000-Qia-M-Sof-1
3416	3585	21961	1000-Che-R-Sang-2	1000-Qia-M-Sof-2
3550	3027	21827	1000-Che-R-Sang-2	1000-Qia-R-Sang-1
3543	3145	21834	1000-Che-R-Sang-2	1000-Qia-R-Sang-2
2744	4391	22633	1000-Che-R-Sang-2	1000-Qia-R-Sof-1
3044	3698	22333	1000-Che-R-Sang-2	1000-Qia-R-Sof-2
4031	2892	21346	1000-Che-R-Sang-2	100-Che-M-Sang-1
4059	2843	21318	1000-Che-R-Sang-2	100-Che-M-Sang-2
3016	3457	22361	1000-Che-R-Sang-2	100-Che-M-Sof-1
23868	927	1509	1000-Che-R-Sang-2	100-Che-M-Sof-2
5951	2241	19426	1000-Che-R-Sang-2	100-Che-R-Sang-1
5190	2449	20187	1000-Che-R-Sang-2	100-Che-R-Sang-2
3810	2962	21567	1000-Che-R-Sang-2	100-Che-R-Sof-1
4099	2741	21278	1000-Che-R-Sang-2	100-Che-R-Sof-2
10389	3063	14988	1000-Che-R-Sang-2	100-Qia-M-Sang-1
9993	2840	15384	1000-Che-R-Sang-2	100-Qia-M-Sang-2
11034	2414	14343	1000-Che-R-Sang-2	100-Qia-M-Sof-1
11988	1954	13389	1000-Che-R-Sang-2	100-Qia-M-Sof-2
8182	2861	17195	1000-Che-R-Sang-2	100-Qia-R-Sang-1
7746	3103	17631	1000-Che-R-Sang-2	100-Qia-R-Sang-2
7629	3365	17748	1000-Che-R-Sang-2	100-Qia-R-Sof-1
7797	3150	17580	1000-Che-R-Sang-2	100-Qia-R-Sof-2
3181	2878	22772	1000-Che-R-Sof-1	1000-Che-M-Sang-1
3107	2969	22846	1000-Che-R-Sof-1	1000-Che-M-Sang-2
