GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	sampleName
20782107	96.432223	75.516694	76	48	0.110569	0	0.035754	0.025547	0.16157	0.081924	0.415365	0.990455	0.967794	0.935659	0.900673	0.863796	0.826635	0.789892	0.719188	0.652434	0.590083	0.532497	0.479774	0.432089	0.389123	0.980855	17	8025874494
20782107	60.692605	65.792179	36	26	0.115819	0	0.040264	0.027464	0.16107	0.102161	0.446777	0.98293	0.921966	0.835704	0.754345	0.681765	0.61819	0.562028	0.467793	0.394718	0.337245	0.291358	0.253212	0.221319	0.19458	0.957744	14	8025874502
20782107	108.938613	81.834355	87	57	0.110417	0	0.035526	0.026128	0.16273	0.125865	0.460665	0.991562	0.97061	0.941561	0.909704	0.87638	0.843154	0.81028	0.74795	0.688643	0.633352	0.58158	0.534467	0.491026	0.45117	0.982665	18	8025874507
20782107	66.032092	68.132664	41	29	0.126734	0	0.042158	0.026906	0.161787	0.091812	0.449398	0.984573	0.931552	0.856855	0.784777	0.717923	0.656953	0.602185	0.510001	0.436006	0.375422	0.325598	0.284099	0.249628	0.220763	0.962629	14	8025874526
20782107	62.315644	66.554276	38	28	0.124918	0	0.040591	0.02631	0.166862	0.08864	0.447321	0.979341	0.91536	0.834327	0.75897	0.691463	0.630805	0.576632	0.484984	0.411187	0.351384	0.303254	0.263717	0.230503	0.203372	0.95306	13	8025874536
20782107	61.155836	65.415483	37	26	0.119043	0	0.04014	0.028645	0.161143	0.115223	0.464194	0.98489	0.929752	0.848155	0.767878	0.695608	0.629885	0.571998	0.476323	0.400235	0.340754	0.29271	0.253195	0.220933	0.193767	0.962062	14	8025874537
20782107	30.845716	56.448969	8	7	0.119478	0	0.040241	0.027521	0.1602	0.224548	0.571987	0.863686	0.60641	0.460122	0.374981	0.317483	0.275526	0.243573	0.198194	0.167204	0.144681	0.127343	0.113495	0.102078	0.092448	0.759918	6	8025874578
20782107	73.022815	73.775445	45	33	0.120427	0	0.039105	0.02605	0.166325	0.12758	0.479487	0.982571	0.930001	0.860292	0.794816	0.734294	0.678832	0.62869	0.542522	0.471184	0.41139	0.361708	0.320027	0.284768	0.25479	0.96082	14	8025874586
20782107	82.85915	83.797925	48	39	0.129738	0	0.039521	0.028252	0.170295	0.230413	0.59822	0.976968	0.912234	0.838148	0.773274	0.717667	0.668806	0.624977	0.551862	0.49186	0.442164	0.400268	0.365123	0.334966	0.308726	0.950431	13	8025874589
20782107	117.228672	81.825028	99	62	0.102183	0	0.035692	0.026806	0.161807	0.12064	0.447127	0.994374	0.980471	0.958087	0.932252	0.904309	0.87505	0.845628	0.787711	0.732394	0.67991	0.630532	0.584085	0.540064	0.498708	0.988356	19	8025874627
20782107	118.499875	90.803277	93	70	0.127649	0	0.039147	0.026447	0.167739	0.275099	0.636083	0.987943	0.961297	0.926503	0.890615	0.855158	0.821544	0.789237	0.730145	0.67668	0.628389	0.584869	0.546267	0.511591	0.48054	0.97672	16	8025874636
20782107	152.039819	85.863298	154	96	0.117646	0	0.035326	0.028513	0.166948	0.212887	0.561319	0.993857	0.98473	0.972377	0.958584	0.943517	0.927262	0.910071	0.873727	0.836144	0.79898	0.762172	0.726723	0.692498	0.659028	0.989904	20	8025874637
20782107	132.410116	88.665397	117	81	0.119713	0	0.037049	0.025592	0.169423	0.234392	0.586169	0.992378	0.977303	0.955493	0.931201	0.905076	0.879021	0.853088	0.80355	0.756289	0.711195	0.668355	0.628314	0.59078	0.55565	0.985957	19	8025874665
20782107	19.113379	31.964352	8	7	0.115958	0	0.03821	0.028186	0.160399	0.039534	0.382288	0.911319	0.658618	0.46615	0.349486	0.272193	0.217379	0.17762	0.124165	0.090967	0.069266	0.054453	0.043477	0.035446	0.029439	0.810018	7	8025874669
20782107	128.351427	88.238357	111	77	0.116055	0	0.039299	0.027871	0.163271	0.233562	0.580057	0.991844	0.97658	0.953778	0.927808	0.900172	0.872868	0.84573	0.793032	0.742713	0.694893	0.650444	0.609502	0.571267	0.535878	0.98525	18	8025874672
20782107	73.215838	65.935802	52	33	0.121989	0	0.033937	0.027134	0.170026	0.053629	0.406714	0.989133	0.957716	0.90888	0.854672	0.799909	0.746955	0.696171	0.601938	0.5196	0.44806	0.386647	0.334817	0.291404	0.254623	0.976002	16	8025874706
20782107	75.659947	74.385033	48	35	0.123876	0	0.038555	0.026718	0.164608	0.125246	0.479003	0.983375	0.936654	0.872676	0.809545	0.750161	0.695644	0.645918	0.55978	0.489112	0.430089	0.379871	0.337005	0.300834	0.269998	0.963953	14	8025874714
20782107	152.100048	87.276793	155	95	0.116175	0	0.034661	0.028884	0.167636	0.242406	0.589762	0.992976	0.982484	0.969311	0.954514	0.937992	0.9202	0.901789	0.864218	0.826536	0.78978	0.754173	0.719538	0.685918	0.653779	0.988423	19	8025874721
20782107	125.111582	84.520563	109	70	0.109404	0	0.03497	0.026904	0.162607	0.150767	0.484652	0.993451	0.978958	0.958416	0.935355	0.910102	0.883827	0.857001	0.803559	0.752436	0.70362	0.657246	0.613777	0.573217	0.534546	0.987259	19	8025874729
20782107	117.498341	84.752847	96	63	0.127792	0	0.036835	0.026025	0.17368	0.169909	0.534242	0.992437	0.977087	0.953169	0.925394	0.89541	0.864414	0.833363	0.773576	0.716244	0.662608	0.612878	0.56686	0.524758	0.486362	0.985884	19	8025874738
20782107	138.556306	84.314316	130	79	0.110222	0	0.033802	0.025515	0.165783	0.153547	0.488869	0.994308	0.983836	0.969058	0.951952	0.933121	0.913112	0.892358	0.849449	0.806345	0.763586	0.721979	0.681909	0.642949	0.605654	0.989737	20	8025874809
20782107	124.341503	86.796351	105	71	0.113504	0	0.03622	0.027665	0.165665	0.193388	0.536442	0.990933	0.974104	0.950673	0.924611	0.897087	0.869346	0.841863	0.787822	0.73518	0.686451	0.640446	0.597219	0.557144	0.520495	0.983698	18	8025874829
20782107	35.140846	49.553952	17	13	0.156576	0	0.035866	0.025654	0.178202	0.056085	0.452385	0.952532	0.8038	0.653688	0.541707	0.456026	0.389447	0.337097	0.259857	0.206742	0.168734	0.140189	0.117976	0.100522	0.08696	0.894108	10	8025874849
20782107	141.235861	84.164313	135	81	0.112158	0	0.0329	0.026274	0.166039	0.147979	0.48535	0.993543	0.983441	0.969233	0.953535	0.936287	0.917873	0.898376	0.857713	0.816225	0.77479	0.734238	0.694553	0.6561	0.619097	0.98912	20	8025874865
20782107	157.401497	83.289305	161	89	0.125876	0	0.039687	0.02851	0.1629	0.230988	0.587961	0.994777	0.988297	0.97956	0.969315	0.957902	0.945316	0.931616	0.900903	0.867777	0.832781	0.796855	0.761001	0.724935	0.689663	0.991946	21	8025874872
20782107	96.76479	82.434427	69	49	0.125269	0	0.039419	0.027253	0.165584	0.164602	0.522126	0.988014	0.958458	0.915608	0.870275	0.825576	0.783317	0.742699	0.668582	0.603655	0.54675	0.496268	0.451844	0.412908	0.37805	0.975478	16	8025874875
20782107	66.287716	65.889233	43	30	0.12259	0	0.039419	0.028693	0.164614	0.071825	0.427141	0.984488	0.938492	0.871772	0.804315	0.740221	0.680915	0.625652	0.530088	0.451288	0.385965	0.332388	0.288235	0.25158	0.22072	0.965258	15	8025874899
20782107	84.425855	80.19759	54	40	0.126079	0	0.04094	0.026513	0.16801	0.166076	0.527618	0.983742	0.937037	0.87652	0.818875	0.765121	0.716304	0.671604	0.594107	0.528469	0.472176	0.423404	0.381124	0.345016	0.313869	0.964442	14	8025874928
20782107	18.466613	18.166457	14	8	0.140877	0	0.038042	0.027356	0.171309	0.006065	0.38365	0.976572	0.856609	0.663451	0.484047	0.342247	0.240657	0.170731	0.089261	0.049971	0.029866	0.018605	0.012115	0.008146	0.005585	0.92854	11	8025874933
20782107	145.129349	88.014262	140	94	0.11903	0	0.035045	0.026374	0.168016	0.236005	0.58447	0.99424	0.984	0.968673	0.950662	0.931052	0.910197	0.88882	0.845402	0.802523	0.761795	0.723036	0.686309	0.651592	0.618294	0.989803	20	8025874940
20782107	97.279167	78.616039	73	48	0.12745	0	0.038176	0.026275	0.169115	0.119087	0.480103	0.990867	0.969315	0.93646	0.898782	0.859501	0.819618	0.780564	0.705642	0.636221	0.57291	0.515852	0.466057	0.421629	0.381745	0.981763	17	8025874973
20782107	148.612743	88.211681	148	99	0.1176	0	0.037556	0.025733	0.168526	0.261118	0.610534	0.993767	0.982814	0.967837	0.95063	0.931865	0.912069	0.891645	0.851322	0.811663	0.772999	0.735812	0.700278	0.66642	0.634122	0.989067	20	8025874975
20782107	56.446086	60.785382	35	24	0.128964	0	0.039908	0.027488	0.165932	0.060183	0.422475	0.983752	0.923881	0.838364	0.755283	0.679674	0.612751	0.552715	0.454624	0.378002	0.316884	0.267814	0.228441	0.196526	0.170204	0.959129	14	8025874988
20782107	84.187258	78.99693	55	40	0.124261	0	0.041685	0.026887	0.165509	0.149711	0.508052	0.986455	0.945155	0.887035	0.829813	0.775799	0.725977	0.680913	0.600259	0.531165	0.472458	0.423125	0.380783	0.344404	0.313034	0.969168	15	8025875029
20782107	113.933811	88.921871	88	65	0.120973	0	0.040227	0.028209	0.164984	0.233047	0.58744	0.989383	0.963341	0.927488	0.890432	0.853888	0.818003	0.783814	0.720446	0.664362	0.614785	0.570167	0.529661	0.493683	0.46079	0.978327	17	8025875042
20782107	66.97786	65.38934	45	31	0.116753	0	0.036354	0.026654	0.162484	0.060667	0.402912	0.984451	0.938153	0.872332	0.806782	0.746169	0.689826	0.636679	0.542941	0.463511	0.397546	0.342142	0.296272	0.258033	0.225221	0.965236	15	8025875052
20782107	86.358878	77.405755	59	41	0.12473	0	0.037854	0.025819	0.168331	0.130094	0.486828	0.98775	0.954066	0.903918	0.853041	0.803468	0.756441	0.712276	0.631005	0.559976	0.498649	0.445736	0.400217	0.36031	0.325523	0.973695	16	8025875059
20782107	82.75276	88.629154	43	38	0.127667	0	0.044793	0.026411	0.166772	0.330888	0.69653	0.961429	0.867647	0.781656	0.716331	0.66328	0.618856	0.580727	0.517521	0.465998	0.42315	0.387132	0.357207	0.331763	0.309796	0.923127	11	8025875101
20782107	226.134734	58.282126	250	0	0.140577	0	0.038391	0.02646	0.17672	0.536038	0.918187	0.995419	0.992297	0.989231	0.98626	0.983152	0.980163	0.977113	0.970497	0.963542	0.956399	0.949014	0.941383	0.93358	0.925735	0.994033	22	8025875121
20782107	119.462028	81.485817	103	63	0.112648	0	0.034781	0.026966	0.167629	0.116393	0.458418	0.992223	0.978215	0.957708	0.934832	0.909919	0.883664	0.85642	0.801789	0.74801	0.696512	0.647012	0.599769	0.555374	0.512935	0.986185	19	8025875140
20782107	127.356153	88.308149	110	76	0.113986	0	0.039092	0.031178	0.167167	0.22376	0.575182	0.991046	0.973324	0.948371	0.920986	0.89322	0.865913	0.839022	0.787454	0.738556	0.691206	0.646446	0.605376	0.567492	0.532659	0.983445	18	8025875144
