mq_count	mapQuality	ext	s1	s2	density
244624	1	chelex	sof1	sanger2	100
258343	3	chelex	sof1	sanger2	100
276959	4	chelex	sof1	sanger2	100
296638	21	chelex	sof1	sanger2	100
435956	6	chelex	sof1	sanger2	100
483375	7	chelex	sof1	sanger2	100
539713	52	chelex	sof1	sanger2	100
823531	9	chelex	sof1	sanger2	100
1630986	46	chelex	sof1	sanger2	100
5128465	40	chelex	sof1	sanger2	100
16790349	60	chelex	sof1	sanger2	100
76635374	0	chelex	sof1	sanger2	100
13924	32	chelex	sof1	sanger2	1K
16034	34	chelex	sof1	sanger2	1K
17947	35	chelex	sof1	sanger2	1K
19658	44	chelex	sof1	sanger2	1K
19881	38	chelex	sof1	sanger2	1K
21835	20	chelex	sof1	sanger2	1K
23450	56	chelex	sof1	sanger2	1K
24212	47	chelex	sof1	sanger2	1K
24926	53	chelex	sof1	sanger2	1K
25137	59	chelex	sof1	sanger2	1K
25286	37	chelex	sof1	sanger2	1K
27555	23	chelex	sof1	sanger2	1K
28080	51	chelex	sof1	sanger2	1K
28542	36	chelex	sof1	sanger2	1K
28862	41	chelex	sof1	sanger2	1K
28895	22	chelex	sof1	sanger2	1K
30963	42	chelex	sof1	sanger2	1K
31094	50	chelex	sof1	sanger2	1K
33439	55	chelex	sof1	sanger2	1K
33747	26	chelex	sof1	sanger2	1K
35949	29	chelex	sof1	sanger2	1K
35998	49	chelex	sof1	sanger2	1K
36103	39	chelex	sof1	sanger2	1K
36201	57	chelex	sof1	sanger2	1K
40574	25	chelex	sof1	sanger2	1K
40980	8	chelex	sof1	sanger2	1K
41704	48	chelex	sof1	sanger2	1K
42626	54	chelex	sof1	sanger2	1K
42989	28	chelex	sof1	sanger2	1K
47158	24	chelex	sof1	sanger2	1K
49138	27	chelex	sof1	sanger2	1K
50830	10	chelex	sof1	sanger2	1K
51052	11	chelex	sof1	sanger2	1K
53866	43	chelex	sof1	sanger2	1K
56777	30	chelex	sof1	sanger2	1K
62139	31	chelex	sof1	sanger2	1K
64067	45	chelex	sof1	sanger2	1K
67614	14	chelex	sof1	sanger2	1K
71367	17	chelex	sof1	sanger2	1K
73313	13	chelex	sof1	sanger2	1K
80152	15	chelex	sof1	sanger2	1K
88727	16	chelex	sof1	sanger2	1K
100010	33	chelex	sof1	sanger2	1K
109930	12	chelex	sof1	sanger2	1K
121248	18	chelex	sof1	sanger2	1K
133860	19	chelex	sof1	sanger2	1K
135619	58	chelex	sof1	sanger2	1K
150958	2	chelex	sof1	sanger2	1K
162490	5	chelex	sof1	sanger2	1K
177028	1	chelex	sof1	sanger2	1K
188666	3	chelex	sof1	sanger2	1K
200253	4	chelex	sof1	sanger2	1K
212918	21	chelex	sof1	sanger2	1K
308363	6	chelex	sof1	sanger2	1K
334582	7	chelex	sof1	sanger2	1K
372183	52	chelex	sof1	sanger2	1K
566639	9	chelex	sof1	sanger2	1K
1092172	46	chelex	sof1	sanger2	1K
3558340	40	chelex	sof1	sanger2	1K
29890078	60	chelex	sof1	sanger2	1K
50529069	0	chelex	sof1	sanger2	1K
4983	59	chelex	sof1	sof2	100
6213	44	chelex	sof1	sof2	100
6470	32	chelex	sof1	sof2	100
8413	34	chelex	sof1	sof2	100
8833	35	chelex	sof1	sof2	100
9045	47	chelex	sof1	sof2	100
9127	48	chelex	sof1	sof2	100
9298	56	chelex	sof1	sof2	100
9489	53	chelex	sof1	sof2	100
12018	51	chelex	sof1	sof2	100
12097	54	chelex	sof1	sof2	100
13920	37	chelex	sof1	sof2	100
14061	38	chelex	sof1	sof2	100
14591	20	chelex	sof1	sof2	100
16959	55	chelex	sof1	sof2	100
17394	39	chelex	sof1	sof2	100
18297	36	chelex	sof1	sof2	100
19133	49	chelex	sof1	sof2	100
19157	22	chelex	sof1	sof2	100
19289	50	chelex	sof1	sof2	100
20105	23	chelex	sof1	sof2	100
21178	42	chelex	sof1	sof2	100
22662	41	chelex	sof1	sof2	100
23064	57	chelex	sof1	sof2	100
30702	26	chelex	sof1	sof2	100
30983	25	chelex	sof1	sof2	100
34585	29	chelex	sof1	sof2	100
35177	24	chelex	sof1	sof2	100
35234	27	chelex	sof1	sof2	100
35311	8	chelex	sof1	sof2	100
43294	28	chelex	sof1	sof2	100
48252	10	chelex	sof1	sof2	100
49374	11	chelex	sof1	sof2	100
54024	43	chelex	sof1	sof2	100
54854	30	chelex	sof1	sof2	100
64255	45	chelex	sof1	sof2	100
65998	31	chelex	sof1	sof2	100
73568	14	chelex	sof1	sof2	100
77292	13	chelex	sof1	sof2	100
84146	17	chelex	sof1	sof2	100
87411	15	chelex	sof1	sof2	100
107540	33	chelex	sof1	sof2	100
107960	16	chelex	sof1	sof2	100
123914	12	chelex	sof1	sof2	100
140735	18	chelex	sof1	sof2	100
172185	19	chelex	sof1	sof2	100
176616	58	chelex	sof1	sof2	100
178410	2	chelex	sof1	sof2	100
205705	5	chelex	sof1	sof2	100
217188	1	chelex	sof1	sof2	100
229349	3	chelex	sof1	sof2	100
253367	4	chelex	sof1	sof2	100
284175	21	chelex	sof1	sof2	100
400290	6	chelex	sof1	sof2	100
447872	7	chelex	sof1	sof2	100
535201	52	chelex	sof1	sof2	100
790218	9	chelex	sof1	sof2	100
1616804	46	chelex	sof1	sof2	100
3476438	60	chelex	sof1	sof2	100
5030533	40	chelex	sof1	sof2	100
77522601	0	chelex	sof1	sof2	100
12243	32	chelex	sof1	sof2	1K
14235	34	chelex	sof1	sof2	1K
16088	35	chelex	sof1	sof2	1K
16596	44	chelex	sof1	sof2	1K
19407	38	chelex	sof1	sof2	1K
19809	59	chelex	sof1	sof2	1K
20433	56	chelex	sof1	sof2	1K
20773	20	chelex	sof1	sof2	1K
21204	47	chelex	sof1	sof2	1K
22309	53	chelex	sof1	sof2	1K
23397	37	chelex	sof1	sof2	1K
25778	51	chelex	sof1	sof2	1K
27647	23	chelex	sof1	sof2	1K
27823	22	chelex	sof1	sof2	1K
28030	36	chelex	sof1	sof2	1K
30211	41	chelex	sof1	sof2	1K
30445	50	chelex	sof1	sof2	1K
31493	55	chelex	sof1	sof2	1K
31577	42	chelex	sof1	sof2	1K
32003	39	chelex	sof1	sof2	1K
33907	48	chelex	sof1	sof2	1K
34170	49	chelex	sof1	sof2	1K
35425	54	chelex	sof1	sof2	1K
35587	57	chelex	sof1	sof2	1K
35904	26	chelex	sof1	sof2	1K
39741	29	chelex	sof1	sof2	1K
41552	8	chelex	sof1	sof2	1K
42017	25	chelex	sof1	sof2	1K
48031	24	chelex	sof1	sof2	1K
48641	28	chelex	sof1	sof2	1K
50077	27	chelex	sof1	sof2	1K
54147	10	chelex	sof1	sof2	1K
54823	11	chelex	sof1	sof2	1K
61629	43	chelex	sof1	sof2	1K
63842	30	chelex	sof1	sof2	1K
71900	31	chelex	sof1	sof2	1K
73579	45	chelex	sof1	sof2	1K
77892	14	chelex	sof1	sof2	1K
82965	13	chelex	sof1	sof2	1K
85928	17	chelex	sof1	sof2	1K
92846	15	chelex	sof1	sof2	1K
108096	16	chelex	sof1	sof2	1K
114952	33	chelex	sof1	sof2	1K
130394	12	chelex	sof1	sof2	1K
144829	18	chelex	sof1	sof2	1K
168357	19	chelex	sof1	sof2	1K
173063	58	chelex	sof1	sof2	1K
178158	2	chelex	sof1	sof2	1K
202061	5	chelex	sof1	sof2	1K
209934	1	chelex	sof1	sof2	1K
227342	3	chelex	sof1	sof2	1K
247456	4	chelex	sof1	sof2	1K
275223	21	chelex	sof1	sof2	1K
389016	6	chelex	sof1	sof2	1K
426340	7	chelex	sof1	sof2	1K
497675	52	chelex	sof1	sof2	1K
741472	9	chelex	sof1	sof2	1K
1467347	46	chelex	sof1	sof2	1K
4678110	40	chelex	sof1	sof2	1K
24145282	60	chelex	sof1	sof2	1K
67709822	0	chelex	sof1	sof2	1K
9790	32	chelex	sof2	sanger1	100
11816	34	chelex	sof2	sanger1	100
12064	44	chelex	sof2	sanger1	100
13480	35	chelex	sof2	sanger1	100
13876	59	chelex	sof2	sanger1	100
15324	56	chelex	sof2	sanger1	100
16136	47	chelex	sof2	sanger1	100
17094	53	chelex	sof2	sanger1	100
17728	20	chelex	sof2	sanger1	100
18844	38	chelex	sof2	sanger1	100
19926	51	chelex	sof2	sanger1	100
20063	37	chelex	sof2	sanger1	100
24106	48	chelex	sof2	sanger1	100
24523	36	chelex	sof2	sanger1	100
24558	55	chelex	sof2	sanger1	100
24644	22	chelex	sof2	sanger1	100
25033	50	chelex	sof2	sanger1	100
25165	23	chelex	sof2	sanger1	100
26078	42	chelex	sof2	sanger1	100
26373	41	chelex	sof2	sanger1	100
26512	54	chelex	sof2	sanger1	100
27314	49	chelex	sof2	sanger1	100
28213	39	chelex	sof2	sanger1	100
29207	57	chelex	sof2	sanger1	100
35757	26	chelex	sof2	sanger1	100
37089	29	chelex	sof2	sanger1	100
37470	25	chelex	sof2	sanger1	100
38958	8	chelex	sof2	sanger1	100
42776	24	chelex	sof2	sanger1	100
43906	27	chelex	sof2	sanger1	100
46847	28	chelex	sof2	sanger1	100
53311	10	chelex	sof2	sanger1	100
54957	11	chelex	sof2	sanger1	100
55308	43	chelex	sof2	sanger1	100
57569	30	chelex	sof2	sanger1	100
64958	45	chelex	sof2	sanger1	100
66806	31	chelex	sof2	sanger1	100
80065	14	chelex	sof2	sanger1	100
80972	17	chelex	sof2	sanger1	100
83382	13	chelex	sof2	sanger1	100
90538	15	chelex	sof2	sanger1	100
104711	16	chelex	sof2	sanger1	100
109940	33	chelex	sof2	sanger1	100
124138	12	chelex	sof2	sanger1	100
138710	18	chelex	sof2	sanger1	100
159616	19	chelex	sof2	sanger1	100
160649	58	chelex	sof2	sanger1	100
179255	2	chelex	sof2	sanger1	100
195609	5	chelex	sof2	sanger1	100
212698	1	chelex	sof2	sanger1	100
225803	3	chelex	sof2	sanger1	100
243474	4	chelex	sof2	sanger1	100
257547	21	chelex	sof2	sanger1	100
378436	6	chelex	sof2	sanger1	100
419153	7	chelex	sof2	sanger1	100
468804	52	chelex	sof2	sanger1	100
715366	9	chelex	sof2	sanger1	100
1408662	46	chelex	sof2	sanger1	100
4450179	40	chelex	sof2	sanger1	100
14253095	60	chelex	sof2	sanger1	100
66466985	0	chelex	sof2	sanger1	100
17912	32	chelex	sof2	sanger1	1K
19639	34	chelex	sof2	sanger1	1K
22227	35	chelex	sof2	sanger1	1K
23611	38	chelex	sof2	sanger1	1K
25160	44	chelex	sof2	sanger1	1K
26750	20	chelex	sof2	sanger1	1K
29024	56	chelex	sof2	sanger1	1K
30311	37	chelex	sof2	sanger1	1K
30629	47	chelex	sof2	sanger1	1K
31512	53	chelex	sof2	sanger1	1K
31841	59	chelex	sof2	sanger1	1K
33059	23	chelex	sof2	sanger1	1K
33653	41	chelex	sof2	sanger1	1K
34510	22	chelex	sof2	sanger1	1K
34558	36	chelex	sof2	sanger1	1K
35054	51	chelex	sof2	sanger1	1K
37114	42	chelex	sof2	sanger1	1K
37462	50	chelex	sof2	sanger1	1K
38998	26	chelex	sof2	sanger1	1K
41049	55	chelex	sof2	sanger1	1K
41224	29	chelex	sof2	sanger1	1K
43467	57	chelex	sof2	sanger1	1K
43728	49	chelex	sof2	sanger1	1K
44852	39	chelex	sof2	sanger1	1K
48074	8	chelex	sof2	sanger1	1K
48727	25	chelex	sof2	sanger1	1K
48945	28	chelex	sof2	sanger1	1K
53166	48	chelex	sof2	sanger1	1K
54340	54	chelex	sof2	sanger1	1K
