total	mapped	paired	plate	sampleName	pc_mapped	balance_coeff
79570	31410	24108	m2	8034211234	0.3947467638557245	2.753551416746259
59016	10871	7676	m2	8034211267	0.18420428358411278	7.9559424156011405
152526	18054	13088	m2	8034211295	0.11836670469297038	4.790575495735017
63630	22286	17036	m2	8034211302	0.35024359578815023	3.8808691555236474
81508	29674	22530	m2	8034211360	0.3640624233204103	2.9146407629574718
82934	28893	22458	m2	8034211363	0.3483854631393638	2.9934257432596136
78960	16470	11948	m2	8034211366	0.20858662613981763	5.251308439587129
119952	17767	13292	m2	8034211368	0.14811758036547953	4.867960263409692
93960	27349	20008	m2	8034211372	0.29107066836951895	3.162420929467257
68216	21390	16178	m2	8034211380	0.313562800516008	4.043433847592333
87440	29569	22666	m2	8034211382	0.33816331198536137	2.9249906997193005
94644	21474	16334	m2	8034211400	0.22689235450741727	4.02761711837571
54424	31858	25274	m2	8034211416	0.5853667499632516	2.7148298700483395
99836	15515	10982	m2	8034211434	0.15540486397692216	5.5745439896874
102526	23512	17360	m2	8034211469	0.22932719505296217	3.67850671997278
52210	22302	16330	m2	8034211508	0.4271595479793143	3.8780849251188236
108452	20487	14620	m2	8034211535	0.1889038468631284	4.221655195977937
97262	15656	11322	m2	8034211552	0.16096728424256132	5.524338911599386
111922	11811	8696	m2	8034211566	0.10552885044942013	7.3227542121750915
92950	23762	18488	m2	8034211570	0.2556428187197418	3.6398051510815588
39300	19869	14288	m2	8034211592	0.5055725190839695	4.352964416930898
64742	15723	11964	m2	8034211594	0.24285626023292453	5.500798193728933
136876	30592	22586	m2	8034211606	0.2235015634588971	2.8271786741631804
119492	30204	23140	m2	8034211613	0.2527700599203294	2.8634965567474513
90772	16551	12522	m2	8034211634	0.18233596263164853	5.225608724548366
101456	19147	13314	m2	8034211644	0.1887222046995742	4.517107118608659
77578	35837	25768	m2	8034211661	0.46194797494134937	2.413400954320953
99410	24932	18236	m2	8034211667	0.25079971833819537	3.4689976736723893
118210	48244	34888	m2	8034211672	0.40812114034345653	1.7927421026448886
137306	30127	22404	m2	8034211675	0.21941502920484174	2.870815215587347
110842	29264	22666	m2	8034211678	0.2640154454087801	2.955476011481684
86302	14642	10900	m2	8034211682	0.1696600310537415	5.906915038929109
33120	9095	6216	m2	8034211702	0.27460748792270534	9.509516217702034
45186	19040	14352	m2	8034211714	0.4213694507148232	4.54249212184874
75642	18902	13870	m2	8034211735	0.2498876285661405	4.575656015236483
96938	12821	9986	m2	8034211744	0.13225979492046464	6.745889556196865
64920	29348	21596	m2	8034211758	0.45206407886629696	2.9470168324928445
99878	10569	7434	m2	8034211776	0.1058190993011474	8.183276563534866
84532	16868	12084	m2	8034211794	0.19954573415984478	5.127403960161253
75764	24804	18774	m2	8034211820	0.3273850377487989	3.4868992904370266
1195556	128228	87700	m2	Undetermined	0.10725386347440019	0.6744942602239762
67492	44118	35508	m3	8034210876	0.6536774728856753	3.363540958339
137012	59763	47422	m3	8034210882	0.4361880711178583	2.4830195940632165
97912	41220	33646	m3	8034210884	0.4209902769834137	3.60001698204755
91728	38841	30610	m3	8034210964	0.4234366823652538	3.8205169794804457
77570	33505	25932	m3	8034210966	0.43193244811138326	4.42897179525444
65610	32808	26108	m3	8034210987	0.5000457247370828	4.523064496464277
98030	34219	28044	m3	8034211003	0.3490666122615526	4.336558637014524
138372	36772	29846	m3	8034211015	0.2657474055444743	4.035480800609159
93918	34693	27772	m3	8034211028	0.36939670776634936	4.277309543711988
99930	42905	33448	m3	8034211035	0.42935054538176726	3.4586341918191352
111398	52762	42914	m3	8034211038	0.4736350742383167	2.8124919449603882
47768	16654	13218	m3	8034211043	0.3486434433093284	8.910333853728835
71472	36263	29644	m3	8034211068	0.5073735169017237	4.0921242037338335
115208	52953	41872	m3	8034211072	0.4596295396153045	2.8023473646441186
278	153	112	m3	8034211078	0.5503597122302158	969.8869281045753
81856	32046	25284	m3	8034211087	0.39149237685691946	4.63061536541222
208	109	84	m3	8034211091	0.5240384615384616	1361.400917431193
106664	20883	16862	m3	8034211118	0.19578301957548938	7.1059091126753815
73000	34021	27190	m3	8034211122	0.466041095890411	4.361797125304959
4454	2282	1758	m3	8034211127	0.512348450830714	65.0274758983348
154844	24578	20150	m3	8034211136	0.1587274934773062	6.0376230775490285
156766	72308	52350	m3	8034211146	0.4612479746883891	2.052230735188361
83026	25971	20714	m3	8034211162	0.31280562715294	5.713784605906589
74890	42522	32534	m3	8034211167	0.567792762718654	3.4897864634777296
112072	41429	34002	m3	8034211189	0.3696641444785495	3.5818557049409834
78282	33215	23666	m3	8034211205	0.4242993280703099	4.46764112599729
79822	52255	42290	m3	8034211207	0.6546440830848638	2.839779925365994
80316	47525	37740	m3	8034211208	0.591725185517207	3.1224134665965284
92108	31835	25532	m3	8034211215	0.3456268728014939	4.661306737867128
102600	47918	37840	m3	8034211221	0.46703703703703703	3.0968049584707207
90474	58199	45134	m3	8034211233	0.6432676791122311	2.5497465592192308
114958	24903	19952	m3	8034211245	0.21662694201360497	5.958828253624063
107298	55522	43442	m3	8034211250	0.5174560569628511	2.6726829004718855
93306	16501	12940	m3	8034211254	0.17684821983580906	8.992951942306528
98648	18458	14528	m3	8034211277	0.18710972346119537	8.039478816773217
54766	26430	21406	m3	8034211279	0.48259869261950844	5.614555429436248
70614	48779	37918	m3	8034211285	0.6907836972838247	3.042143135365629
114208	45167	32122	m3	8034211289	0.39548017652003364	3.285422985808223
113764	32007	21276	m3	8034211320	0.2813455926303576	4.63625769362952
85256	43546	33962	m3	8034211343	0.5107675706108661	3.4077228677720117
104894	16889	13496	m3	8034211346	0.16101016264037982	8.786352063473267
71662	25133	18090	m3	8034211358	0.35071586056766485	5.904297139219353
84146	43682	33978	m3	8034211378	0.5191215268699642	3.3971132274163276
103688	37777	30342	m3	8034211392	0.3643333847696937	3.9281229319427164
87962	33672	27074	m3	8034211393	0.3828016643550624	4.407005820860062
89330	48890	39104	m3	8034211403	0.5472965409157058	3.035236244630804
91310	26070	20338	m3	8034211410	0.28551089694447485	5.692086689681627
96862	43738	34242	m3	8034211417	0.4515496273048254	3.392763729480086
80070	35408	28646	m3	8034211433	0.4422130635693768	4.190937076366923
102890	48807	39152	m3	8034211442	0.47436096802410344	3.04039789374475
84034	43914	34560	m3	8034211456	0.5225741961586977	3.3791660973721367
115992	31684	25500	m3	8034211487	0.27315676943237466	4.683521651306654
99402	33509	26802	m3	8034211511	0.3371058932415847	4.428443104837506
87290	40499	32616	m3	8034211543	0.46395921640508647	3.6641077557470556
98316	40913	27548	m3	8034211559	0.4161377598763172	3.627030528193973
121592	27426	21620	m3	8034211563	0.22555760247384696	5.410657769999271
50820	27815	19624	m3	8034211583	0.5473238882329792	5.334988315657021
97694	20791	16656	m3	8034211614	0.21281757323888878	7.137352700687798
140088	59253	43220	m3	8034211627	0.42296984752441324	2.5043913388351644
77754	48356	39186	m3	8034211636	0.6219101268101963	3.0687546529903216
78902	25333	19972	m3	8034211645	0.3210691744188994	5.857683653732287
75184	46242	36010	m3	8034211659	0.615051074696744	3.2090458890186415
131432	36831	30658	m3	8034211677	0.280228559254976	4.029016317775787
115362	18242	14766	m3	8034211685	0.15812832648532446	8.134672733252934
99066	61586	49466	m3	8034211698	0.6216663638382492	2.4095200207839444
72542	27590	21562	m3	8034211699	0.38033139422679274	5.378495831823125
94268	42601	34326	m3	8034211712	0.45191369287563116	3.4833149456585524
196	140	106	m3	8034211713	0.7142857142857143	1059.9478571428572
79834	50425	40356	m3	8034211719	0.6316231179697873	2.94283986117997
93044	38554	30392	m3	8034211720	0.41436309702936247	3.84895730663485
98594	29981	24198	m3	8034211736	0.3040854413047447	4.949558053433842
96048	39986	31504	m3	8034211743	0.41631267699483593	3.7111163907367577
97050	47429	39276	m3	8034211761	0.48870685213807313	3.128733475299922
89438	46027	36332	m3	8034211763	0.5146246561864085	3.2240358919764485
79432	37557	29630	m3	8034211771	0.4728195185819317	3.9511329445908885
93090	54745	43628	m3	8034211778	0.5880867977226341	2.7106164946570463
62394	29474	23506	m3	8034211780	0.4723851652402475	5.0346983782316626
2292	622	454	m3	8034211781	0.27137870855148344	238.5734726688103
85742	40951	31652	m3	8034211783	0.47760724032562807	3.623664867768797
96614	42195	33666	m3	8034211812	0.4367379468814043	3.5168313781253704
100852	40027	31976	m3	8034211814	0.39688850989568875	3.707315062332925
92476	41052	31996	m3	8034211818	0.44392058480038066	3.6147495858910648
2085118	418414	268256	m3	Undetermined	0.2006668207746516	0.3546551979618273
46644	29400	22276	m4	8034210877	0.6303061487007975	4.157011904761905
69158	8791	6780	m4	8034210888	0.12711472280864108	13.902417244909566
68588	40087	31902	m4	8034210903	0.5844608386306642	3.0487726694439594
140514	39445	31666	m4	8034210913	0.2807193589250893	3.098393966282165
97960	34435	27680	m4	8034210924	0.35152102899142507	3.5491839697981704
65822	14021	11190	m4	8034210925	0.21301388593479384	8.716650024962556
99920	27011	21412	m4	8034210936	0.270326261008807	4.524680685646588
73538	18250	14608	m4	8034210946	0.24817101362560853	6.696775342465753
122158	24273	18914	m4	8034210961	0.19870168142896905	5.035065710872163
67368	21959	17532	m4	8034210963	0.32595594347464674	5.565651896716608
138286	37533	30488	m4	8034210965	0.27141576153768276	3.256231849305944
65334	31004	24506	m4	8034210996	0.4745461781002235	3.9419478131853958
63276	38954	30918	m4	8034211001	0.615620456413174	3.1374480156081535
55626	30224	23888	m4	8034211034	0.5433430410239816	4.043678864478561
92834	29636	23638	m4	8034211047	0.3192364866320529	4.12390842218923
79776	39205	31668	m4	8034211062	0.4914385278780586	3.117361305955873
68918	41126	33088	m4	8034211067	0.5967381525871326	2.9717490152215147
45930	31783	26356	m4	8034211103	0.6919878075332027	3.845330837240034
51334	27476	21020	m4	8034211111	0.5352398020804925	4.448105619449701
49126	23966	18516	m4	8034211113	0.4878475756218703	5.09956396561796
96040	38999	30840	m4	8034211133	0.4060703873386089	3.1338277904561656
109362	20658	16788	m4	8034211138	0.18889559444779722	5.9161656501113375
72012	35563	28174	m4	8034211139	0.4938482475143032	3.4366096785985434
110916	72446	59198	m4	8034211140	0.653160950629305	1.6869965215470835
72104	27623	21400	m4	8034211163	0.3830994119605015	4.424434348188105
54634	18885	14970	m4	8034211173	0.3456638723139437	6.471599152766746
50184	34248	26690	m4	8034211199	0.6824485891917743	3.568563127773885
60910	29768	23704	m4	8034211203	0.4887210638647184	4.105621808653588
75916	41067	32272	m4	8034211204	0.5409531587544127	2.9760184576423896
70566	44456	34984	m4	8034211210	0.6299917807442678	2.749148596364945
